Date,Open,High,Low,Close,Adj Close,Volume
2023-10-23,210.000000,216.979996,202.509995,212.080002,212.080002,150683400
2023-10-24,216.500000,222.050003,214.110001,216.520004,216.520004,118231100
2023-10-25,215.880005,220.100006,212.199997,212.419998,212.419998,107065100
2023-10-26,211.320007,214.800003,204.880005,205.759995,205.759995,115112600
2023-10-27,210.600006,212.410004,205.770004,207.300003,207.300003,94881200
2023-10-30,209.279999,210.880005,194.669998,197.360001,197.360001,136448200
2023-10-31,196.119995,202.800003,194.070007,200.839996,200.839996,118068300
2023-11-01,204.039993,205.990005,197.850006,205.660004,205.660004,121661700
2023-11-02,212.970001,219.199997,211.449997,218.509995,218.509995,125987600
2023-11-03,221.149994,226.369995,218.399994,219.960007,219.960007,119281000
2023-11-06,223.979996,226.320007,215.000000,219.270004,219.270004,117335800
2023-11-07,219.979996,223.119995,215.720001,222.179993,222.179993,116900100
2023-11-08,223.149994,224.149994,217.639999,222.110001,222.110001,106584800
2023-11-09,219.750000,220.800003,206.679993,209.979996,209.979996,142110500
2023-11-10,210.029999,215.380005,205.690002,214.649994,214.649994,130994000
2023-11-13,215.600006,225.399994,211.610001,223.710007,223.710007,140447600
2023-11-14,235.029999,238.139999,230.720001,237.410004,237.410004,149771600
2023-11-15,239.289993,246.699997,236.449997,242.839996,242.839996,150354000
2023-11-16,239.490005,240.880005,230.960007,233.589996,233.589996,136816800
2023-11-17,232.000000,237.389999,226.539993,234.300003,234.300003,142532800
2023-11-20,234.039993,237.100006,231.020004,235.600006,235.600006,116320100
2023-11-21,235.039993,243.619995,233.339996,241.199997,241.199997,122288000
2023-11-22,242.039993,244.009995,231.399994,234.210007,234.210007,117950600
2023-11-24,233.750000,238.750000,232.330002,235.449997,235.449997,65125200
2023-11-27,236.889999,238.330002,232.100006,236.080002,236.080002,112031800
2023-11-28,236.679993,247.000000,234.009995,246.720001,246.720001,148549900
2023-11-29,249.210007,252.750000,242.759995,244.139999,244.139999,135401300
2023-11-30,245.139999,245.220001,236.910004,240.080002,240.080002,132353200
2023-12-01,233.139999,240.190002,231.899994,238.830002,238.830002,121173500
2023-12-04,235.750000,239.369995,233.289993,235.580002,235.580002,104099800
2023-12-05,233.869995,246.660004,233.699997,238.720001,238.720001,137971100
2023-12-06,242.919998,246.570007,239.169998,239.369995,239.369995,126436200
2023-12-07,241.550003,244.080002,236.979996,242.639999,242.639999,107142300
2023-12-08,240.270004,245.270004,239.270004,243.839996,243.839996,102980100
2023-12-11,242.740005,243.440002,237.449997,239.740005,239.740005,97913900
2023-12-12,238.550003,238.990005,233.869995,237.009995,237.009995,95328300
2023-12-13,234.190002,240.300003,228.199997,239.289993,239.289993,146286300
2023-12-14,241.220001,253.880005,240.789993,251.050003,251.050003,160829200
2023-12-15,251.210007,254.130005,248.300003,253.500000,253.500000,135720800
2023-12-18,253.779999,258.739990,251.360001,252.080002,252.080002,116416500
2023-12-19,253.479996,258.339996,253.009995,257.220001,257.220001,106737400
2023-12-20,256.410004,259.839996,247.000000,247.139999,247.139999,125097000
2023-12-21,251.899994,254.800003,248.550003,254.500000,254.500000,109594200
2023-12-22,256.760010,258.220001,251.369995,252.539993,252.539993,93249800
2023-12-26,254.490005,257.970001,252.910004,256.609985,256.609985,86892400
2023-12-27,258.350006,263.339996,257.519989,261.440002,261.440002,106494400
2023-12-28,263.660004,265.130005,252.710007,253.179993,253.179993,113619900
2023-12-29,255.100006,255.190002,247.429993,248.479996,248.479996,100615300
2024-01-02,250.080002,251.250000,244.410004,248.419998,248.419998,104654200
2024-01-03,244.979996,245.679993,236.320007,238.449997,238.449997,121082600
2024-01-04,239.250000,242.699997,237.729996,237.929993,237.929993,102629300
2024-01-05,236.860001,240.119995,234.899994,237.490005,237.490005,92379400
2024-01-08,236.139999,241.250000,235.300003,240.449997,240.449997,85166600
2024-01-09,238.110001,238.960007,232.039993,234.960007,234.960007,96705700
2024-01-10,235.100006,235.500000,231.289993,233.940002,233.940002,91628500
2024-01-11,230.570007,230.929993,225.369995,227.220001,227.220001,105873600
2024-01-12,220.080002,225.339996,217.149994,218.889999,218.889999,122889000
2024-01-16,215.100006,223.490005,212.179993,219.910004,219.910004,115355000
2024-01-17,214.860001,215.669998,212.009995,215.550003,215.550003,103164400
2024-01-18,216.880005,217.449997,208.740005,211.880005,211.880005,108595400
2024-01-19,209.990005,213.190002,207.559998,212.190002,212.190002,102095800
2024-01-22,212.259995,217.800003,206.270004,208.800003,208.800003,117952500
2024-01-23,211.300003,215.649994,207.750000,209.139999,209.139999,106605900
2024-01-24,211.880005,212.729996,206.770004,207.830002,207.830002,123369900
2024-01-25,189.699997,193.000000,180.059998,182.630005,182.630005,198076800
2024-01-26,185.500000,186.779999,182.100006,183.250000,183.250000,107343200
